Interaction ID,Date,Regulator,Person / Unit,Topic,Interaction Type,Tone,Key Message,Follow-up Owner,Follow-up Due,Status
INT-001,2024-11-05,MIC,Policy Dept,Capital requirement,Call,Neutral,Provide transparent update and confirm next steps,Agency,2024-11-10,Open
INT-002,2025-10-08,ISA,Association Secretariat,Capital requirement,Call,Positive,Provide transparent update and confirm next steps,Operations,2025-10-25,In Progress
INT-003,2024-10-10,SBV,Insurance Supervision Team,Product approval,Call,Cautious,Provide transparent update and confirm next steps,Agency,2024-10-27,Open
INT-004,2024-07-07,ISA,Insurance Supervision Team,Consumer complaints,Submission counter,Positive,Provide transparent update and confirm next steps,Product,2024-07-14,Closed
INT-005,2026-01-16,MOF,Policy Dept,Market conduct,Email,Cautious,Provide transparent update and confirm next steps,CEO Office,2026-01-22,Closed
INT-006,2024-07-05,IAV,Legal Unit,Data privacy,Workshop,Concerned,Provide transparent update and confirm next steps,CEO Office,2024-07-10,In Progress
INT-007,2026-05-01,SBV,Insurance Supervision Team,Data privacy,Meeting,Positive,Provide transparent update and confirm next steps,Product,2026-05-04,In Progress
INT-008,2025-09-08,MIC,Policy Dept,Market conduct,Submission counter,Concerned,Provide transparent update and confirm next steps,Agency,2025-09-16,In Progress
INT-009,2025-03-21,VCA,Legal Unit,Capital requirement,Submission counter,Cautious,Provide transparent update and confirm next steps,Operations,2025-04-03,Closed
INT-010,2024-07-24,MOF,Administrative Office,Bancassurance,Submission counter,Concerned,Provide transparent update and confirm next steps,Agency,2024-08-08,In Progress
INT-011,2026-05-04,SBV,Policy Dept,Bancassurance,Email,Cautious,Provide transparent update and confirm next steps,Compliance,2026-05-19,In Progress
INT-012,2026-06-09,VCA,Association Secretariat,ESG reporting,Submission counter,Positive,Provide transparent update and confirm next steps,Product,2026-06-28,Closed
INT-013,2024-09-11,SBV,Legal Unit,Product approval,Call,Cautious,Provide transparent update and confirm next steps,Finance,2024-09-23,Closed
INT-014,2024-06-25,SBV,Policy Dept,Product approval,Workshop,Neutral,Provide transparent update and confirm next steps,Finance,2024-07-07,In Progress
INT-015,2026-05-27,MIC,Legal Unit,Capital requirement,Call,Positive,Provide transparent update and confirm next steps,CEO Office,2026-06-02,In Progress
INT-016,2026-01-04,SBV,Insurance Supervision Team,Quarterly update,Email,Concerned,Provide transparent update and confirm next steps,CEO Office,2026-01-22,Open
INT-017,2025-02-28,MIC,Administrative Office,Agency training,Call,Neutral,Provide transparent update and confirm next steps,Compliance,2025-03-11,Closed
INT-018,2025-06-27,MIC,Insurance Supervision Team,Product approval,Email,Cautious,Provide transparent update and confirm next steps,CEO Office,2025-07-04,Closed
INT-019,2024-12-06,SBV,Insurance Supervision Team,Bancassurance,Workshop,Concerned,Provide transparent update and confirm next steps,CEO Office,2024-12-19,Open
INT-020,2024-06-26,ISA,Association Secretariat,Agency training,Call,Concerned,Provide transparent update and confirm next steps,Legal,2024-07-09,In Progress
INT-021,2025-02-11,VCA,Legal Unit,Agency training,Call,Concerned,Provide transparent update and confirm next steps,Legal,2025-02-18,In Progress
INT-022,2024-10-14,IAV,Policy Dept,ESG reporting,Meeting,Concerned,Provide transparent update and confirm next steps,Legal,2024-10-21,Closed
INT-023,2024-08-09,ISA,Policy Dept,ESG reporting,Email,Cautious,Provide transparent update and confirm next steps,Operations,2024-08-14,Closed
INT-024,2024-07-20,MIC,Legal Unit,Bancassurance,Submission counter,Positive,Provide transparent update and confirm next steps,Compliance,2024-07-30,In Progress
