Document ID,Document Name,Regulator / Audience,Document Type,Owner,Due Date,Correct Template,Reference No.,Signature Authority,Legal Review,Compliance Review,Attachment Complete,Readiness Status,Next Action
DOC-001,Official letter re product approval,MOF,Official Letter,Public Affairs,2026-06-11,Yes,Yes,Yes,Yes,Yes,Yes,Ready,Submit after final sign-off
DOC-002,Monthly solvency monitoring report,ISA,Regulatory Report,Product,2026-06-12,Yes,Yes,Yes,In Progress,Yes,Yes,Needs Review,Close Legal comments
DOC-003,Agency training approval dossier,ISA,Approval Dossier,Agency,2026-06-14,Yes,No,Yes,No,In Progress,No,Not Ready,Collect missing reference number and attachments
DOC-004,Capital increase supporting paper,MOF,Approval Dossier,Finance,2026-06-16,Yes,Yes,Pending,In Progress,No,No,Not Ready,Confirm signature authority and capital support documents
DOC-005,Data privacy compliance update,MIC,Regulatory Report,Compliance,2026-06-18,Yes,Yes,Yes,Yes,In Progress,Yes,Needs Review,Finalize Compliance comments
DOC-006,Regional Office weekly regulatory pack,Regional Office,Management Report,Public Affairs,2026-06-13,Yes,N/A,N/A,N/A,Yes,Yes,Ready,Send to Regional Office
DOC-007,Consumer complaint summary,VCA,Regulatory Report,Compliance,2026-06-19,Yes,Yes,Yes,Yes,Yes,Yes,Ready,Archive submission evidence
DOC-008,Bancassurance conduct response,SBV/MOF,Ad-hoc Response,Bancassurance,2026-06-21,Yes,Yes,Pending,In Progress,Yes,In Progress,Needs Review,Confirm regulator Q&A response
DOC-009,Market conduct remediation update,ISA,Regulatory Report,Operations,2026-06-10,No,No,Yes,No,No,No,Not Ready,Rebuild letter with correct template
DOC-010,New product Q&A response,MOF,Q&A Response,Product,2026-06-15,Yes,Yes,Yes,In Progress,Yes,Yes,Needs Review,Finalize answers to regulator questions
DOC-011,Circular summary for Regional Office,Regional Office,Translation Summary,Public Affairs,2026-06-17,Yes,N/A,N/A,N/A,Yes,Yes,Ready,Send translated summary
DOC-012,CEO/EMT regulator meeting deck,MOF/ISA,Meeting Material,CEO Office,2026-06-23,Yes,N/A,Pending,Pending,Pending,In Progress,Needs Review,Finalize EMT talking points
