Sheet / Module,Purpose,Primary User,Update Frequency,Key Inputs,Key Outputs,Typical KPI,Notes
Executive_Dashboard,Senior summary of overall PA/regulatory workload and risk.,Head of Regulatory & Public Affairs,Weekly,All tracker data,"KPIs, alerts, priorities",Overall PA effectiveness,Use in weekly management update.
Daily_Control_Tower,Daily view of urgent work items.,PA Executive,Daily,"Deadlines, actions, meetings",Today/this-week priorities,Overdue actions,Open first every morning.
Regulatory_Obligation_Register,Master register of recurring and ad-hoc regulatory obligations.,PA + Compliance,Monthly or when rules change,"Obligation, regulator, owner, frequency, penalty",Obligation map,On-time completion rate,Core control document.
Regulatory_Calendar,Calendar of report due dates and regulatory milestones.,PA Executive,Daily/weekly,"Due date, regulator, owner, status",Deadline countdown,Reports due in 7 days,Feeds daily attention view.
Submission_Tracker,Tracks outgoing regulatory submissions.,PA Executive,Daily,"Submission details, status, ref no.",Submission status,On-time submission rate,Use for MOF/ISA filings.
Regulatory_Response_Tracker,Tracks incoming/outgoing regulatory letters and pending responses.,PA + Legal,Daily,"Request, response owner, due date",Open regulator requests,Average response time,Useful for audit trail.
Product_Approval_Command_Center,Tracks product/license/capital approval workflow.,Product + PA + Legal,Weekly,"Product, regulator, stage, owner",Approval pipeline,Average approval days,Important for business enablement.
Internal_Coordination_Tracker,Tracks follow-up with internal departments.,PA Executive,Daily,"Department, action, SLA, owner",Overdue internal actions,SLA compliance,Supports cross-functional discipline.
Regulator_CRM,Regulator relationship database.,PA team,After each meeting/contact,"Profile, contact history, open issues",Relationship map,Relationship score,Institutional memory.
Meeting_Intelligence,Before/after meeting brief and action log.,PA + EMT,Per meeting,"Objective, talking points, commitments",Meeting brief and follow-ups,Follow-up closure rate,Fits JD briefing notes.
Document_QC_Checklist,Quality control for official letters/reports before submission.,PA + Legal + Compliance,Per submission,"Template, attachment, review status",Ready/not ready decision,QC pass rate,Pre-submission control gate.
Policy_Monitoring,"Monitors laws, circulars and regulatory developments.",PA + Legal,Weekly,"Policy item, source, impact, action",Impact assessment,New items assessed,Supports research task in JD.
Risk_Radar,Quantifies probability and business impact of policy issues.,PA + Risk,Monthly,"Probability, impact, mitigation",Risk score,High-risk items,Differentiates candidate with risk background.
Regional_Report_Pack,Regional Office update pack.,PA Manager,Monthly/ad-hoc,"Key developments, approvals, risks",RO report,Report readiness,Use for APAC reporting.
Translation_Tracker,Tracks VN/EN translation work.,PA Executive,As needed,"Document, language, owner, due date",Translation status,Turnaround time,Small but directly in JD.
Inspection_Readiness,Self-assessment for regulatory inspection readiness.,PA + Compliance,Quarterly,Documentation and controls score,Readiness score,Inspection readiness %,Useful for regulated industry.
Knowledge_Base,Regulatory knowledge repository.,PA + Legal,When new policy is issued,"Summary, obligations, departments affected",Quick reference,Knowledge completeness,AI-lite knowledge base.
Interview_Story_Mode,3-minute demo narrative mapped to JD.,Candidate,Before interview,JD pain points + modules,Demo storyline,,Use to present the prototype.
Monthly_RO_Report_Generator,One-click style monthly report text for Regional Office.,PA team,Monthly,Trackers + narrative fields,English report,Report production time,New in v6 polish.
